post_id,title,category,score,num_comments,author,collected_at,enagagement,is_popular
47762901,An AI Vibe Coding Horror Story,technology,86,55,teichmann,2026-04-14 15:23:26,0.632183908045977,False
47762864,Backblaze has stopped backing up your data,technology,33,12,rrreese,2026-04-14 15:23:26,0.35294117647058826,False
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,35,8,tie-in,2026-04-14 15:23:26,0.2222222222222222,False
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,19,2,adunk,2026-04-14 15:23:26,0.1,False
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,418,234,m-hodges,2026-04-14 15:23:26,0.5584725536992841,True
47761825,Roblox devs now need a subscription to share their games freely,sports,49,45,hallole,2026-04-14 15:23:26,0.9,False
47708457,Rust Threads on the GPU,technology,70,21,PaulHoule,2026-04-14 15:23:26,0.29577464788732394,False
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,68,18,mufeedvh,2026-04-14 15:23:26,0.2608695652173913,False
47728970,"Write less code, be more responsible",technology,90,56,orhunp_,2026-04-14 15:23:26,0.6153846153846154,False
47753689,Building a CLI for all of Cloudflare,technology,308,100,soheilpro,2026-04-14 15:23:26,0.32362459546925565,True
47729046,Air Powered Segment Display? [video],technology,106,11,ProfDreamer,2026-04-14 15:23:26,0.102803738317757,False
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,131,30,galaxyLogic,2026-04-14 15:23:26,0.22727272727272727,False
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,149,38,cvrajeesh,2026-04-14 15:23:26,0.25333333333333335,False
47755209,B-trees and database indexes (2024),technology,108,40,tosh,2026-04-14 15:23:26,0.3669724770642202,False
47750872,Servo is now available on crates.io,technology,450,145,ffin,2026-04-14 15:23:26,0.3215077605321508,True
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,86,38,bookofjoe,2026-04-14 15:23:26,0.4367816091954023,False
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,84,24,mfilion,2026-04-14 15:23:26,0.2823529411764706,False
47759292,The AI revolution in math has arrived,technology,84,48,sonabinu,2026-04-14 15:23:26,0.5647058823529412,False
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,262,108,dvaughan,2026-04-14 15:23:26,0.41064638783269963,True
47754179,Claude Code may be burning your limits with invisible tokens,technology,44,5,jenic_,2026-04-14 15:23:26,0.1111111111111111,False
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,215,123,iamnothere,2026-04-14 15:23:26,0.5694444444444444,True
47733217,Exploiting the most prominent AI agent benchmarks,technology,579,139,Anon84,2026-04-14 15:23:26,0.2396551724137931,True
47761720,"Microsoft exec suggests AI agents will need to buy licenses, just like employees",technology,13,6,maxloh,2026-04-14 15:23:26,0.42857142857142855,False
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,401,272,kiyanwang,2026-04-14 15:23:26,0.6766169154228856,True
47761616,Sam Altman: Man charged with attempting to murder OpenAI boss,technology,10,1,taspeotis,2026-04-14 15:23:26,0.09090909090909091,False
47756672,The looming college-enrollment death spiral,technology,104,138,JumpCrisscross,2026-04-14 15:23:26,1.3142857142857143,False
47757552,Show HN: Continual Learning with .md,entertainment,26,22,wenhan_zhou,2026-04-14 15:23:26,0.8148148148148148,False
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,507,288,a-ve,2026-04-14 15:23:26,0.5669291338582677,True
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,15,0,isaacfrond,2026-04-14 15:23:26,0.0,False
47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,410,362,walterbell,2026-04-14 15:23:26,0.8807785888077859,True
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,129,38,radeeyate,2026-04-14 15:23:28,0.2923076923076923,False
47724352,Filing the corners off my MacBooks,entertainment,1396,668,normanvalentine,2026-04-14 15:23:28,0.47816750178954903,True
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,30,2,joe_mamba,2026-04-14 15:23:28,0.06451612903225806,False
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 15:23:28,0.0,False
47738343,The Physics of GPS,science,161,35,maouida,2026-04-14 15:23:28,0.21604938271604937,True
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,95,Rochus,2026-04-14 15:23:28,0.3941908713692946,True
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 15:23:28,0.24281150159744408,True
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 15:23:28,0.14285714285714285,False
47749295,Show HN: Equirect – a Rust VR video player,sports,12,1,greggman65,2026-04-14 15:23:28,0.07692307692307693,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 15:23:28,0.6287015945330297,True
47698111,Bevy game development tutorials and in-depth resources,sports,138,68,GenericCanadian,2026-04-14 15:23:28,0.4892086330935252,False
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 15:23:28,0.0,False
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 15:23:28,0.23529411764705882,True
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-14 15:23:28,0.3132530120481928,False
